Date,Monthly_Revenue,Monthly_Expenditures,Net_Income,Assets,Liabilities,Capital,Operating_Margin,Net_Loans,Net_Investments,Revenue_Per_Hour,Employee_Costs,Operations_Costs,Taxes_Paid,Number_Employees,Employees_Paid,Rent_Paid,Other_Expenses,Loans_Paid,Grants,Services_Income,Investors,Loans_Taken,Other_Income,Hours_Worked
2018-12-01,0,0,0,0,0,0,#DIV/0!,0,0,#DIV/0!,,,,,,,,,,,,,,
2019-01-01,0,0,0,0,0,0,#DIV/0!,0,0,#DIV/0!,,,,,,,,,,,,,,
2019-02-01,0,0,0,0,0,0,#DIV/0!,0,0,#DIV/0!,,,,,,,,,,,,,,
2019-03-01,0,0,0,0,0,0,#DIV/0!,0,0,#DIV/0!,,,,,,,,,,,,,,
2019-04-01,0,0,0,0,0,0,#DIV/0!,0,0,#DIV/0!,,,,,,,,,,,,,,
2019-05-01,0,0,0,0,0,0,#DIV/0!,0,0,#DIV/0!,,,,,,,,,,,,,,
2019-06-01,0,0,0,0,0,0,#DIV/0!,0,0,#DIV/0!,,,,,,,,,,,,,,
2019-07-01,0,0,0,0,0,0,#DIV/0!,0,0,#DIV/0!,,,,,,,,,,,,,,
2019-08-01,0,0,0,0,0,0,#DIV/0!,0,0,#DIV/0!,,,,,,,,,,,,,,
2019-09-01,0,0,0,0,0,0,#DIV/0!,0,0,#DIV/0!,,,,,,,,,,,,,,
2019-10-01,0,0,0,0,0,0,#DIV/0!,0,0,#DIV/0!,,,,,,,,,,,,,,
2019-11-01,0,0,0,0,0,0,#DIV/0!,0,0,#DIV/0!,,,,,,,,,,,,,,
2019-12-01,0,0,0,0,0,0,#DIV/0!,0,0,#DIV/0!,,,,,,,,,,,,,,
2020-01-01,0,0,0,0,0,0,#DIV/0!,0,0,#DIV/0!,,,,,,,,,,,,,,
2020-02-01,0,0,0,0,0,0,#DIV/0!,0,0,#DIV/0!,,,,,,,,,,,,,,
2020-03-01,0,0,0,0,0,0,#DIV/0!,0,0,#DIV/0!,,,,,,,,,,,,,,
2020-04-01,0,0,0,0,0,0,#DIV/0!,0,0,#DIV/0!,,,,,,,,,,,,,,
2020-05-01,0,0,0,0,0,0,#DIV/0!,0,0,#DIV/0!,,,,,,,,,,,,,,
2020-06-01,0,0,0,0,0,0,#DIV/0!,0,0,#DIV/0!,,,,,,,,,,,,,,
2020-07-01,0,0,0,0,0,0,#DIV/0!,0,0,#DIV/0!,,,,,,,,,,,,,,
2020-08-01,0,0,0,0,0,0,#DIV/0!,0,0,#DIV/0!,,,,,,,,,,,,,,
2020-09-01,0,0,0,0,0,0,#DIV/0!,0,0,#DIV/0!,,,,,,,,,,,,,,
2020-10-01,0,0,0,0,0,0,#DIV/0!,0,0,#DIV/0!,,,,,,,,,,,,,,
2020-11-01,0,0,0,0,0,0,#DIV/0!,0,0,#DIV/0!,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Note: The divide by error will disappear once data is entered into the spreadsheet.,,,,,,,,,,,,,,,,,
